ids	growth	status
{'YNR058W'}	0.08374770604149083	optimal
{'YPL059W'}	0.08374770604149083	optimal
{'YAL039C'}	0.08374770604149083	optimal
{'YIL053W'}	0.08374770604149083	optimal
{'YPL088W'}	0.08374770604149083	optimal
{'YKR061W'}	0.08374770604149083	optimal
{'YOR100C'}	0.08374770604149083	optimal
{'YKL192C'}	0.08374770604149083	optimal
{'YPL280W'}	0.08374770604149083	optimal
{'YOR163W'}	0.08374770604149083	optimal
{'YOR180C'}	0.08374770604149083	optimal
{'YGR094W'}	0.0	optimal
{'YLL060C'}	0.08374770604149012	optimal
{'YJR110W'}	0.08374770604149012	optimal
{'YGL006W'}	0.08374770604149012	optimal
{'YJL196C'}	0.08374770604149012	optimal
{'YGL038C'}	0.08374770604149012	optimal
{'YBR293W'}	0.08374770604149012	optimal
{'YDR352W'}	0.08374770604149141	optimal
{'YGR255C'}	0.08374770604149141	optimal
{'YGR061C'}	0.0	optimal
{'YBR243C'}	0.08374770604148997	optimal
{'YGL187C'}	0.08374770604148997	optimal
{'YNL247W'}	0.0	optimal
{'YGR256W'}	0.08374770604153739	optimal
{'YBL064C'}	0.08374770604153739	optimal
{'YOR348C'}	0.08374770604153739	optimal
{'YPL087W'}	0.08374770604153739	optimal
{'YMR054W'}	0.08374770604153739	optimal
{'YCL064C'}	0.08374770604153739	optimal
{'YKL220C'}	0.08374770604153739	optimal
{'YLR354C'}	0.08374770604153739	optimal
{'YDR074W'}	0.0	optimal
{'YKL104C'}	0.08374770604158417	optimal
{'YPL189W'}	0.08374770604158417	optimal
{'YMR323W'}	0.08374770604158417	optimal
{'YPL096C-A'}	0.08374770604158417	optimal
{'YFL045C'}	0.0	optimal
{'YOR347C'}	0.0837477060415837	optimal
{'YBR205W'}	0.0837477060415837	optimal
{'YDR322C-A'}	0.0837477060415837	optimal
{'YOR081C'}	0.0837477060415837	optimal
{'YJL137C'}	0.0837477060415837	optimal
{'YFL054C'}	0.0837477060415837	optimal
{'YMR226C'}	0.0837477060415837	optimal
{'YPL274W'}	0.0837477060415837	optimal
{'YKL029C'}	0.0835317194059422	optimal
{'YJR160C'}	0.08374770604149116	optimal
{'YLL031C'}	0.08374770604149116	optimal
{'YPR020W'}	0.08374770604149116	optimal
{'YCR098C'}	0.08374770604149108	optimal
{'YDR399W'}	0.08374770604149188	optimal
{'YCR024C-A'}	0.08374770604149188	optimal
{'YBR002C'}	0.08374770604149188	optimal
{'YHR020W'}	0.0	optimal
{'YKL080W'}	0.0837477060414929	optimal
{'YKL212W'}	0.0837477060414929	optimal
{'YJR130C'}	0.0837477060414929	optimal
{'YOR176W'}	0.0837477060414929	optimal
{'YIL010W'}	0.0837477060414929	optimal
{'YKL103C'}	0.0837477060414929	optimal
{'YDR437W'}	0.0837477060414929	optimal
{'YLR237W'}	0.0837477060414929	optimal
{'YMR322C'}	0.0837477060414929	optimal
{'YPR002W'}	0.0837477060414929	optimal
{'YEL069C'}	0.0837477060414929	optimal
{'YMR015C'}	0.0837477060414929	optimal
{'YFL017C'}	0.0837477060414929	optimal
{'YJR159W'}	0.0837477060414929	optimal
{'YLL062C'}	0.0837477060414929	optimal
{'YGL067W'}	0.0837477060414929	optimal
{'YKR076W'}	0.0837477060414929	optimal
{'YGR060W'}	0.0	optimal
{'YFL022C'}	0.0	optimal
{'YBR183W'}	0.08374770604149115	optimal
{'YGR204W'}	0.0	optimal
{'YBR208C'}	0.08374770604149144	optimal
{'YJL101C'}	0.08374770604149144	optimal
{'YGL080W'}	0.08374770604149144	optimal
{'YJL212C'}	0.08374770604149144	optimal
{'YKL067W'}	0.0	optimal
{'YML110C'}	0.08374770604149252	optimal
{'YMR278W'}	0.08374770604149141	optimal
{'YOR196C'}	0.08374770604149141	optimal
{'YGL008C'}	0.08374770604149141	optimal
